channel,mean_activation,max_activation
model_2_cv1_conv_ch2.png,216.62099283854167,255
model_2_m_0_cv1_conv_ch4.png,216.61079427083334,255
model_2_m_0_cv1_conv_ch2.png,215.67439778645834,255
model_2_cv1_conv_ch4.png,213.19720703125,255
model_2_cv1_conv_ch3.png,212.505947265625,255
model_2_m_0_cv1_conv_ch0.png,207.06809895833334,255
model_0_conv_ch3.png,206.89787434895834,255
model_0_conv_ch5.png,201.777568359375,255
model_2_cv1_conv_ch0.png,201.20846028645835,255
model_2_cv1_conv_ch1.png,198.786220703125,255
model_2_m_0_m_0_cv1_conv_ch1.png,197.53298502604167,255
model_1_conv_ch1.png,197.30303385416667,255
model_2_m_0_m_0_cv1_conv_ch2.png,196.80075520833333,255
model_2_m_0_cv1_conv_ch1.png,194.142900390625,255
model_1_conv_ch0.png,193.00391276041665,255
model_2_m_0_m_0_cv1_conv_ch5.png,192.564775390625,255
model_2_cv1_conv_ch5.png,192.480595703125,255
model_1_conv_ch5.png,191.89,255
model_2_m_0_m_0_cv1_conv_ch4.png,191.70747395833334,255
model_1_conv_ch3.png,190.83582356770833,255
model_2_m_0_cv1_conv_ch3.png,190.71933268229168,255
model_0_conv_ch0.png,189.98611002604167,255
model_1_conv_ch2.png,188.58117513020832,255
model_0_conv_ch2.png,186.63726236979167,255
model_2_m_0_m_0_cv1_conv_ch3.png,185.81637369791667,255
model_2_m_0_m_0_cv1_conv_ch0.png,185.24531901041667,255
model_2_m_0_cv1_conv_ch5.png,184.29110026041667,255
model_0_conv_ch1.png,182.692939453125,255
model_0_conv_ch4.png,181.88372721354168,255
model_1_conv_ch4.png,181.77779296875,255
